Drug_ID,text,Y
CHLOROQUINE,The molecular structure represented by SMILES CC[NH+](CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12 was tested for hERG channel blocking activity.,1.0
JMC20066569-20,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1 was tested for hERG channel blocking activity.,1.0
TEDISAMIL,The molecular structure represented by SMILES C1CCC2(C1)C1C[NH+](CC3CC3)CC2C[NH+](CC2CC2)C1 was tested for hERG channel blocking activity.,1.0
WOMBAT38,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(C3=CNC=CC3)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
BTHP,The molecular structure represented by SMILES COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3[C@@H](Cc3ccccc3)N1CC2 was tested for hERG channel blocking activity.,1.0
MEFLOQUINE,The molecular structure represented by SMILES O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCC[NH2+]1 was tested for hERG channel blocking activity.,1.0
DAURICINE,The molecular structure represented by SMILES COc1cc2c(cc1OC)[C@@H](Cc1ccc(Oc3cc(C[C@@H]4c5cc(OC)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2 was tested for hERG channel blocking activity.,1.0
TRAZODONE,The molecular structure represented by SMILES O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12 was tested for hERG channel blocking activity.,1.0
NORVERAPAMIL,The molecular structure represented by SMILES COc1ccc(CC[NH2+]CCC[C@@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC was tested for hERG channel blocking activity.,1.0
WOMBAT20,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH2+][C@H]2CCN(c3ccncc3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
ALOSETRON,The molecular structure represented by SMILES Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 2A,The molecular structure represented by SMILES CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(Cl)cc3)CC1=O)C2 was tested for hERG channel blocking activity.,1.0
IMIPRAMINE HYDROCHLORIDE,The molecular structure represented by SMILES CN(C)CCCN1c2ccccc2CCc2ccccc21 was tested for hERG channel blocking activity.,1.0
BMCL-16-2007-1777-19,The molecular structure represented by SMILES N[C@@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1)C1CC1 was tested for hERG channel blocking activity.,1.0
BMCL20031829_22,The molecular structure represented by SMILES CCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
TRIFLUOPERAZINE HYDROCHLORIDE,The molecular structure represented by SMILES CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 was tested for hERG channel blocking activity.,1.0
JMC20066569-18,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(OC(F)F)cc2o1 was tested for hERG channel blocking activity.,1.0
JMC20066569-21,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1 was tested for hERG channel blocking activity.,1.0
NORPROPOXYPHENE,The molecular structure represented by SMILES CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)C[NH2+]C was tested for hERG channel blocking activity.,1.0
GRANISETRON,The molecular structure represented by SMILES Cn1nc(C(=O)NC2C[C@@H]3CCC[C@H](C2)[NH+]3C)c2ccccc21 was tested for hERG channel blocking activity.,1.0
FLUVOXAMINE,The molecular structure represented by SMILES COCCCC/C(=N\OCC[NH3+])c1ccc(C(F)(F)F)cc1 was tested for hERG channel blocking activity.,1.0
FLECAINIDE,The molecular structure represented by SMILES O=C(NC[C@H]1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F was tested for hERG channel blocking activity.,1.0
BUSPIRONE,The molecular structure represented by SMILES O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4B,The molecular structure represented by SMILES O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(Cn3ccnc3)ccc2C1 was tested for hERG channel blocking activity.,1.0
JMC20066569-30,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1 was tested for hERG channel blocking activity.,1.0
N-DESMETHYLCLOZAPINE,The molecular structure represented by SMILES Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2 was tested for hERG channel blocking activity.,1.0
WOMBAT32,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(-c3ccccc3)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
PRUCALOPRIDE,The molecular structure represented by SMILES COCCC[NH+]1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1 was tested for hERG channel blocking activity.,1.0
2-AMINO-N-PYRIMIDIN-4-YLACETAMIDE-4,The molecular structure represented by SMILES Cc1ccc(-c2nc(NC(=O)CC3CCN(C)CC3)cc(-n3nccc3C)n2)o1 was tested for hERG channel blocking activity.,1.0
CHLOROBUTANOL,The molecular structure represented by SMILES CC(C)(O)C(Cl)(Cl)Cl was tested for hERG channel blocking activity.,1.0
DESLORATIDINE,The molecular structure represented by SMILES Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1 was tested for hERG channel blocking activity.,1.0
"6-(4-CHLOROPHENYL)-3-{4-[(3S)-3-HYDROXYPYRROLIDIN-1-YL]-3-METHOXYPHENYL}THIENO[3,2-D]PYRIMIDIN-4(3H)-ONE",The molecular structure represented by SMILES COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@H](O)C1 was tested for hERG channel blocking activity.,1.0
NORCLOZAPINE,The molecular structure represented by SMILES Clc1ccc2c(c1)N=C(N1CC[NH2+]CC1)c1ccccc1N2 was tested for hERG channel blocking activity.,1.0
BMCL20031829_18,The molecular structure represented by SMILES C[C@@H](O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
WOMBAT29,The molecular structure represented by SMILES c1ccc(-c2[nH]c3ccccc3c2[C@H]2CCC[NH2+]C2)cc1 was tested for hERG channel blocking activity.,1.0
AMOXAPINE,The molecular structure represented by SMILES Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2 was tested for hERG channel blocking activity.,1.0
DEXTROMETHORPHAN,The molecular structure represented by SMILES COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3 was tested for hERG channel blocking activity.,1.0
"1,4-DIHYDROINDENO[1,2-C]PYRAZOL_50",The molecular structure represented by SMILES COCCOCC#Cc1cc(-c2n[nH]c3c2C(=O)c2cc(CN4CCN(C)CC4)ccc2-3)cs1 was tested for hERG channel blocking activity.,1.0
JMC20066569-47,The molecular structure represented by SMILES COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
WOMBAT37,The molecular structure represented by SMILES Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(C3CCCCCC3)[nH]c2c1 was tested for hERG channel blocking activity.,1.0
AMITRIPTYLINE HYDROCHLORIDE,The molecular structure represented by SMILES CN(C)CCC=C1c2ccccc2CCc2ccccc21 was tested for hERG channel blocking activity.,1.0
DULOXETINE,The molecular structure represented by SMILES CN(C)C[C@@H](c1ccc(O)cc1)C1(O)CCCCC1 was tested for hERG channel blocking activity.,1.0
JMC20066569-42,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1)c1cc(=O)c2ccc(F)cc2o1 was tested for hERG channel blocking activity.,1.0
WOMBAT30,The molecular structure represented by SMILES c1ccc(-c2[nH]c3ccccc3c2C2CC[NH2+]CC2)cc1 was tested for hERG channel blocking activity.,1.0
QUETIAPINE,The molecular structure represented by SMILES OCCOCC[NH+]1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1 was tested for hERG channel blocking activity.,1.0
DOLASETRON,The molecular structure represented by SMILES O=C(OC1C[C@H]2CC3C[C@H](C1)[NH+]2CC3=O)C1=c2ccccc2=NC1 was tested for hERG channel blocking activity.,1.0
EGCG,The molecular structure represented by SMILES O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1 was tested for hERG channel blocking activity.,1.0
WOMBAT66,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH2+][C@@H]2CCN(C(=O)c3cncc(Br)c3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
JMC20066569-36,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1 was tested for hERG channel blocking activity.,1.0
SERTINDOLE10,The molecular structure represented by SMILES Fc1ccc(-n2cc(C3CC[NH+](CCN4CCNC4=S)CC3)c3cc(Cl)ccc32)cc1 was tested for hERG channel blocking activity.,1.0
ATOMOXETINE,The molecular structure represented by SMILES CNCC[C@@H](Oc1ccccc1C)c1ccccc1 was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-17782-21,The molecular structure represented by SMILES CN(C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CCNCC1 was tested for hERG channel blocking activity.,1.0
CHROMANOL,The molecular structure represented by SMILES CCS(=O)(=O)C[NH2+][C@@H]1c2cc(C[NH3+])ccc2OC(C)(C)[C@H]1O was tested for hERG channel blocking activity.,1.0
WOMBAT02,The molecular structure represented by SMILES C[NH+]1CCCC[C@@H]1c1c(-c2ccccc2)[nH]c2ccccc12 was tested for hERG channel blocking activity.,1.0
WOMBAT39,The molecular structure represented by SMILES Fc1ccc2[nH]c(-c3ccccc3)c([C@@H]3C[NH2+]CC[C@@H]3F)c2c1 was tested for hERG channel blocking activity.,1.0
WOMBAT64,The molecular structure represented by SMILES F[C@H]1CC[NH2+]C[C@H]1c1c(-c2ccccc2)[nH]c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
COCAINE,The molecular structure represented by SMILES COC(=O)[C@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C was tested for hERG channel blocking activity.,1.0
WOMBAT21,The molecular structure represented by SMILES N#Cc1ccc(Cn2cncc2C[NH2+][C@H]2CCN(Cc3ccccc3)C2=O)cc1 was tested for hERG channel blocking activity.,1.0
DISOPYRAMIDE PHOSPHATE,The molecular structure represented by SMILES CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C was tested for hERG channel blocking activity.,1.0
PAPAVERINE,The molecular structure represented by SMILES COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC was tested for hERG channel blocking activity.,1.0
NEFERINE,The molecular structure represented by SMILES COc1ccc(C[C@@H]2c3cc(Oc4cc(C[C@@H]5c6cc(OC)c(OC)cc6CCN5C)ccc4O)c(OC)cc3CCN2C)cc1 was tested for hERG channel blocking activity.,1.0
BUPRENORPHINE,The molecular structure represented by SMILES CO[C@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CC[NH+]1CC1CC1)[C@H]2O5 was tested for hERG channel blocking activity.,1.0
PERHEXILENE,The molecular structure represented by SMILES C1CCC(C(C[C@H]2CCCC[NH2+]2)C2CCCCC2)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT18,The molecular structure represented by SMILES CSc1ncccc1C(=O)N1CC[C@@H]([NH2+]Cc2cncn2Cc2ccc(C#N)cc2)C1=O was tested for hERG channel blocking activity.,1.0
SERTRALINE,The molecular structure represented by SMILES C[NH2+][C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21 was tested for hERG channel blocking activity.,1.0
LUMEFANTRINE,The molecular structure represented by SMILES CCCC[NH+](CCCC)C[C@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C\c1ccc(Cl)cc1 was tested for hERG channel blocking activity.,1.0
RITONAVIR,The molecular structure represented by SMILES CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1 was tested for hERG channel blocking activity.,1.0
WOMBAT35,The molecular structure represented by SMILES COC(=O)c1[nH]c2cc(F)ccc2c1[C@@H]1C[NH2+]CC[C@H]1F was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-17782-15,The molecular structure represented by SMILES CC(C)[C@H](N)C(=O)N1CC(c2cc(F)ccc2F)=C[C@@H]1c1cccc(O)c1 was tested for hERG channel blocking activity.,1.0
JMC20066569-52,The molecular structure represented by SMILES COc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F was tested for hERG channel blocking activity.,1.0
LOPINAVIR,The molecular structure represented by SMILES Cc1cccc(C)c1OCC(=O)N[C@H](Cc1ccccc1)[C@H](O)C[C@@H](Cc1ccccc1)NC(=O)[C@@H](C(C)C)N1CCCNC1=O was tested for hERG channel blocking activity.,1.0
SILODOSIN,The molecular structure represented by SMILES C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F was tested for hERG channel blocking activity.,1.0
ICI-118551,The molecular structure represented by SMILES Cc1ccc(OC[C@H](O)[C@H](C)NC(C)C)c2c1CCC2 was tested for hERG channel blocking activity.,1.0
WOMBAT05,The molecular structure represented by SMILES C[NH+]1CCC[C@H](c2c(-c3ccccc3)[nH]c3ccccc23)C1 was tested for hERG channel blocking activity.,1.0
AMITRIPTYLINE,The molecular structure represented by SMILES C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21 was tested for hERG channel blocking activity.,1.0
CELECOXIB,The molecular structure represented by SMILES Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1 was tested for hERG channel blocking activity.,1.0
FAMOTIDINE,The molecular structure represented by SMILES NC(N)=[NH+]c1nc(CSCC/C(N)=[NH+]/S(N)(=O)=O)cs1 was tested for hERG channel blocking activity.,1.0
HMR-1556,The molecular structure represented by SMILES CN([C@@H]1c2cc(OCCCC(F)(F)F)ccc2OC(C)(C)[C@H]1O)S(C)(=O)=O was tested for hERG channel blocking activity.,1.0
HY-2901,The molecular structure represented by SMILES CC(C)(CN1CCC(=C2c3ccc(F)cc3COc3ccccc32)CC1)C(=O)O was tested for hERG channel blocking activity.,1.0
ISOBUTYLMETHYLXANTHINE,The molecular structure represented by SMILES CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21 was tested for hERG channel blocking activity.,1.0
MEXILETINE,The molecular structure represented by SMILES Cc1cccc(C)c1OC[C@@H](C)[NH3+] was tested for hERG channel blocking activity.,1.0
N-{(1S)-2-[(3S)-3-HYDROXYPYRROLIDIN-1-YL]-1-PHENYLETHYL}-N-METHYL-2-(4-{[(METHYLSULFONYL)AMINO]METHYL}PHENYL)ACETAMIDE,The molecular structure represented by SMILES CN(C(=O)Cc1ccc(CNS(C)(=O)=O)cc1)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
SERTINDOLE2,The molecular structure represented by SMILES O=C1NCCN1CC[NH+]1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1 was tested for hERG channel blocking activity.,1.0
TRIMETHAPHAN,The molecular structure represented by SMILES O=C1N(Cc2ccccc2)[C@H]2[C@H](C[S+]3CCC[C@H]23)N1Cc1ccccc1 was tested for hERG channel blocking activity.,1.0
WOMBAT25,The molecular structure represented by SMILES Cc1ncccc1C(=O)N1CC[C@H]([NH2+]Cc2cncn2Cc2ccc(C#N)cc2)C1=O was tested for hERG channel blocking activity.,1.0
"1-{4-[2-({4-[(2,3-DIMETHYL-1H-INDOL-5-YL)OXY]-6-METHOXYQUINAZOLIN-7-YL}OXY)ETHYL]PIPERAZIN-1-YL}PROPAN-2-ONE",The molecular structure represented by SMILES COc1cc2c(Oc3ccc4[nH]c(C)c(C)c4c3)ncnc2cc1OCCN1CCN(CC(C)=O)CC1 was tested for hERG channel blocking activity.,1.0
BUDIPINE,The molecular structure represented by SMILES CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1 was tested for hERG channel blocking activity.,1.0
JMC20066569-46,The molecular structure represented by SMILES COc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1 was tested for hERG channel blocking activity.,1.0
JMC20066569-34,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(Cl)cc2o1 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4E,The molecular structure represented by SMILES O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCCCC3)ccc2C1 was tested for hERG channel blocking activity.,1.0
JMC20066569-2,The molecular structure represented by SMILES COc1ccc2c(=O)cc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)oc2c1 was tested for hERG channel blocking activity.,1.0
"1,4-DIHYDROINDENO[1,2-C]PYRAZOL_90",The molecular structure represented by SMILES COCCOCC#Cc1cc(-c2n[nH]c3c2Cc2ccc(Cn4cncn4)cc2-3)cs1 was tested for hERG channel blocking activity.,1.0
NORACETYLMETHADOL,The molecular structure represented by SMILES CC[C@@H](O)C(C[C@@H](C)NC)(c1ccccc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
JMC20066569-44,The molecular structure represented by SMILES O=C(NC1CCN(Cc2ccc3c(c2)OCCO3)CC1)c1cc(=O)c2ccc(F)cc2o1 was tested for hERG channel blocking activity.,1.0
SB-237376,The molecular structure represented by SMILES COc1ccc(CCNCCCNC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC was tested for hERG channel blocking activity.,1.0
LOVASTATIN,The molecular structure represented by SMILES CC[C@@H](C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@@H](C)[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21 was tested for hERG channel blocking activity.,1.0
VARDENAFIL,The molecular structure represented by SMILES CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CC[NH+](CC)CC4)ccc3OCC)[nH]n12 was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4F,The molecular structure represented by SMILES CS(=O)(=O)N1CCN(Cc2ccc3c(c2)CC[C@H](N2CCN(CCc4ccc(F)cc4)CC2=O)C3)CC1 was tested for hERG channel blocking activity.,1.0
JMC20066569-43,The molecular structure represented by SMILES O=C(NC1CCN(Cc2cc3c(cc2Cl)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1 was tested for hERG channel blocking activity.,1.0
"2-METHYL-7-({1-[4-(TRIFLUOROMETHYL)PHENYL]CYCLOPROPYL}METHYL)IMIDAZO[1,2-A]PYRAZIN-8(7H)-ONE HYDROCHLORIDE",The molecular structure represented by SMILES Cc1cn2ccn(CC3(c4ccc(C(F)(F)F)cc4)CC3)c(=O)c2n1 was tested for hERG channel blocking activity.,1.0
N-DEMETHYLOLANZAPINE,The molecular structure represented by SMILES Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1 was tested for hERG channel blocking activity.,1.0
WOMBAT17,The molecular structure represented by SMILES CCSc1ncccc1C(=O)N1CC[C@@H]([NH2+]Cc2cncn2Cc2ccc(C#N)cc2)C1=O was tested for hERG channel blocking activity.,1.0
RANOLAZINE,The molecular structure represented by SMILES COc1ccccc1OC[C@H](O)C[NH+]1CC[NH+](CC(=O)Nc2c(C)cccc2C)CC1 was tested for hERG channel blocking activity.,1.0
SAQUINAVIR,The molecular structure represented by SMILES CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1 was tested for hERG channel blocking activity.,1.0
BMCL20031829_20,The molecular structure represented by SMILES CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12 was tested for hERG channel blocking activity.,1.0
SIBUTRAMINE,The molecular structure represented by SMILES CC(C)C[C@@H]([NH+](C)C)C1(c2ccc(Cl)cc2)CCC1 was tested for hERG channel blocking activity.,1.0
JMC20066569-35,The molecular structure represented by SMILES COc1cc2oc(C(=O)NC3CCN(Cc4ccc5c(c4)OCO5)CC3)cc(=O)c2cc1F was tested for hERG channel blocking activity.,1.0
TERAZOSIN,The molecular structure represented by SMILES COc1cc2nc(N3CCN(C(=O)[C@@H]4CCCO4)CC3)nc(N)c2cc1OC was tested for hERG channel blocking activity.,1.0
DILTIAZEM,The molecular structure represented by SMILES COc1ccc([C@@H]2Sc3ccccc3N(CC[NH+](C)C)C(=O)[C@@H]2OC(C)=O)cc1 was tested for hERG channel blocking activity.,1.0
FEXOFENADINE HYDROCHLORIDE,The molecular structure represented by SMILES CC(C)(C(=O)O)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
CAPSAICIN,The molecular structure represented by SMILES COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O was tested for hERG channel blocking activity.,1.0
BMCL-16-2006-17782-17,The molecular structure represented by SMILES O=C([C@@H](O)C1CC1)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1 was tested for hERG channel blocking activity.,1.0
SPARFLOXACIN,The molecular structure represented by SMILES C[C@H]1CN(c2c(F)c(N)c3c(c2F)[N+](C2CC2)=C[C@@H](C(=O)[O-])C3=O)C[C@@H](C)[NH2+]1 was tested for hERG channel blocking activity.,1.0
"4,4'-DIMETHYLDIPHENHYDRAMINE",The molecular structure represented by SMILES CN(C)CCOC(c1ccccc1)c1ccccc1 was tested for hERG channel blocking activity.,1.0
CHROMANOLOL 293B,The molecular structure represented by SMILES CCS(=O)(=O)N(C)[C@H]1c2cc(C#N)ccc2OC(C)(C)[C@@H]1O was tested for hERG channel blocking activity.,1.0
"5-CHLORO-N-[3-(10,11-DIHYDRO-5H-DIBENZO[B,F]AZEPIN-5-YL)PROPYL]-N-METHYL-1-BENZOFURAN-2-CARBOXAMIDE",The molecular structure represented by SMILES CN(CCCN1c2ccccc2CCc2ccccc21)C(=O)c1cc2cc(Cl)ccc2o1 was tested for hERG channel blocking activity.,1.0
JMC20066569-53,The molecular structure represented by SMILES CC(=O)c1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1 was tested for hERG channel blocking activity.,1.0
ROPIVACAINEHCL,The molecular structure represented by SMILES CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1.Cl was tested for hERG channel blocking activity.,1.0
PILSICAINIDE,The molecular structure represented by SMILES Cc1cccc(C)c1NC(=O)CC12CCC[NH+]1CCC2 was tested for hERG channel blocking activity.,1.0
LEVOBUPIVACAINE HYDROCHLORIDE,The molecular structure represented by SMILES CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C was tested for hERG channel blocking activity.,1.0
CHLORPHENIRAMINE,The molecular structure represented by SMILES C[NH+](C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1 was tested for hERG channel blocking activity.,1.0
WOMBAT14,The molecular structure represented by SMILES CC(C)Oc1cc([C@H](C2=CN[C@@H](C(O)(C(F)(F)F)C(F)(F)F)S2)c2cc[n+]([O-])cc2)ccc1OC(F)F was tested for hERG channel blocking activity.,1.0
WOMBAT22,The molecular structure represented by SMILES COc1ncccc1C(=O)N1CC[C@H]([NH2+]Cc2cncn2Cc2ccc(C#N)cc2)C1=O was tested for hERG channel blocking activity.,1.0
WOMBAT43,The molecular structure represented by SMILES CC(C)(O)[C@H]1C=CC([C@H](c2cc[n+](O)cc2)c2ccc(OC(F)F)c(OC3CCC3)c2)=CN1 was tested for hERG channel blocking activity.,1.0
PROCHLORPERAZINE,The molecular structure represented by SMILES C[NH+]1CC[NH+](CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1 was tested for hERG channel blocking activity.,1.0
WOMBAT44,The molecular structure represented by SMILES CC(C)(O)[C@H]1C=CC([C@H](c2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1 was tested for hERG channel blocking activity.,1.0
CIBENZOLINE,The molecular structure represented by SMILES c1ccc(C2(c3ccccc3)C[C@H]2C2=[NH+]CCN2)cc1 was tested for hERG channel blocking activity.,1.0
SERTINDOLE13,The molecular structure represented by SMILES O=C1NCCN1CC[NH+]1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1 was tested for hERG channel blocking activity.,1.0
ROPIVACAINE HYDROCHLORIDE,The molecular structure represented by SMILES CCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4G,The molecular structure represented by SMILES O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCS(=O)(=O)CC3)ccc2C1 was tested for hERG channel blocking activity.,1.0
ATI-7505,The molecular structure represented by SMILES COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCCCC(=O)O[C@@H]2CN3CCC2CC3)C[C@@H]1OC was tested for hERG channel blocking activity.,1.0
AMINOMETHYL TETRAHYDRONAPHTHALENE KETOPIPERAZINE 4I,The molecular structure represented by SMILES CN(C)C(=O)[C@@H](CO)N(C)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(F)cc3)CC1=O)C2 was tested for hERG channel blocking activity.,1.0
WOMBAT51,The molecular structure represented by SMILES CC(C)(C)Oc1cc([C@H](C2=CN[C@@H](C(C)(C)O)C=C2)c2cc[n+]([O-])cc2)ccc1OC(F)F was tested for hERG channel blocking activity.,1.0
ZAFIRLUKAST,The molecular structure represented by SMILES COc1cc(C(=O)N=S(=O)([O-])c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12 was tested for hERG channel blocking activity.,1.0
OXYBUTYNIN,The molecular structure represented by SMILES CC[NH+](CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1 was tested for hERG channel blocking activity.,1.0
WOMBAT45,The molecular structure represented by SMILES CC(C)(O)[C@H]1C=CC([C@@H](c2cc[n+]([O-])cc2)c2ccc(OC(F)F)c(OC(F)F)c2)=CN1 was tested for hERG channel blocking activity.,1.0
"3-BROMO-2-METHYL-7-[(1-PHENYLCYCLOPROPYL)METHYL]IMIDAZO[1,2-A]PYRAZIN-8(7H)-ONE HYDROCHLORIDE",The molecular structure represented by SMILES Cc1nc2c(=O)n(CC3(c4ccccc4)CC3)ccn2c1Br was tested for hERG channel blocking activity.,1.0
BMCL20031829_16,The molecular structure represented by SMILES CN(C)Cc1cc2cc(Cl)ccc2n1-c1ccc(F)cc1 was tested for hERG channel blocking activity.,1.0
